Model,Train_R2,Train_RMSE,Train_SMAPE,Val_R2,Val_RMSE,Val_SMAPE,Overfit_R2
Gradient Boosting,0.8984050482525041,0.07279276846469601,48.915673345944505,0.821253248686481,0.09683333402532177,60.78951307268707,0.07715179956602314
SVR,0.7016589909155111,0.12474083585151066,76.9075019520961,0.4681701430030092,0.16702910882312103,92.96893765480893,0.2334888479125019
KNN,0.5499504599134664,0.15320831414240457,84.91846237219772,0.325620714230182,0.18808662667378898,97.5810861950882,0.22432974568328434
Random Forest,0.5893863611713462,0.14634195683841011,96.29215007955459,0.23590759047699006,0.20020676542924862,118.44669859531494,0.3534787706943562
Ridge,0.09078081607890076,0.217764191847447,125.73207659502576,0.07863715226081514,0.21984730921766685,125.43925293620748,0.012143663818085626
Linear Regression,0.09078081748742983,0.21776419167877084,125.73261532438163,0.07863613377758594,0.21984743072828347,125.43963089848866,0.012144683709843895
ElasticNet,0.0852183312104905,0.21842930265332572,124.91796162841327,0.07811316989790351,0.2199098143096569,124.28089546143988,0.007105161312586983
Lasso,0.07284604602232359,0.2199014535328785,123.80273446312533,0.06952235880260238,0.22093207797397418,122.88210052600053,0.0033236872197212053
Decision Tree,0.4113666528956189,0.17521633971601938,90.1029127663509,-0.15154641537331703,0.24577999458720368,117.02483114792419,0.562913068268936
